"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 30 10:24:55 GMT 2024","Tue Jul 30 10:24:58 GMT 2024","3079","e2e tests","example.spec.ts","","","","should verify the image of an inventory item",""
"passed","Tue Jul 30 10:24:56 GMT 2024","Tue Jul 30 10:25:00 GMT 2024","4269","e2e tests","example.spec.ts","","","","should reset app state",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:25:02 GMT 2024","12465","e2e tests","example.spec.ts","","","","should navigate using the menu",""
"broken","Tue Jul 30 10:24:56 GMT 2024","Tue Jul 30 10:25:29 GMT 2024","32939","e2e tests","example.spec.ts","","","","should verify footer links",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:55 GMT 2024","5291","e2e tests","example.spec.ts","","","","get started link",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:53 GMT 2024","3650","e2e tests","example.spec.ts","","","","should view the details of an inventory item",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:54 GMT 2024","5127","e2e tests","example.spec.ts","","","","should log out successfully",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:55 GMT 2024","5733","e2e tests","example.spec.ts","","","","should complete the checkout process",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:52 GMT 2024","3188","e2e tests","example.spec.ts","","","","should log in with valid credentials",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:55 GMT 2024","5279","e2e tests","example.spec.ts","","","","should remove a product from the cart",""
"passed","Tue Jul 30 10:24:55 GMT 2024","Tue Jul 30 10:24:58 GMT 2024","3567","e2e tests","example.spec.ts","","","","should remove multiple products from the cart",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:54 GMT 2024","5225","e2e tests","example.spec.ts","","","","should navigate back to products from item details",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:53 GMT 2024","4213","e2e tests","example.spec.ts","","","","should sort products by price (low to high)",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:53 GMT 2024","3255","e2e tests","example.spec.ts","","","","has title",""
"passed","Tue Jul 30 10:24:54 GMT 2024","Tue Jul 30 10:24:58 GMT 2024","3118","e2e tests","example.spec.ts","","","","should add multiple products to the cart",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:53 GMT 2024","4079","e2e tests","example.spec.ts","","","","should not log in with invalid credentials",""
"passed","Tue Jul 30 10:24:49 GMT 2024","Tue Jul 30 10:24:54 GMT 2024","4765","e2e tests","example.spec.ts","","","","should add a product to the cart",""
